행정 구역,업소명,소재지,전화번호,관리구분,coords
서울 강남구,강남복지충전소,서울 강남구 자곡동 373-1 (1층),02-445-3300,자동차충전,"[37.4763744810253, 127.105459882197]"
서울 강남구,(주)진양가스,서울 강남구 도곡동 552-4,02-3463-6811,자동차충전,"[37.4904997775776, 127.035696328909]"
서울 강남구,대치에너지주식회사,서울 강남구 대치동 27-15,02-3412-2828,자동차충전,"[37.4993371909186, 127.078104086886]"
서울 강남구,남서울가스(주),서울 강남구 대치동 21-1,02-3411-4411,용기+자동차+13kg용기,"[37.4977959496269, 127.075562803125]"
서울 강남구,(주)수서에너지,서울 강남구 자곡동 204-1,02-445-1083,자동차충전,"[37.4828535323026, 127.105060577053]"
서울 강동구,암사충전소,서울 강동구 암사동 503-30,02-3427-4244,자동차충전,"[37.5518398151733, 127.127773798209]"
서울 강동구,복지상일충전소,서울 강동구 상일동 443-5,02-442-5583,자동차충전,"[37.5450321229421, 127.170025597418]"
서울 강동구,(주)경기에너지,서울 강동구 성내동 19-1,02-485-3305,자동차충전,"[37.5365185282288, 127.129002234033]"
서울 강동구,복지둔촌충전소,서울 강동구 둔촌동 115-1,02-488-4892,자동차충전,"[37.5251370600419, 127.146533353423]"
서울 강북구,(주)청학에너지,서울 강북구 번3동 267,02-980-1163,자동차충전,"[37.628043406, 127.04412554]"
서울 강북구,서울와사공업(주),서울 강북구 번1동 446-31,02-902-1112,자동차충전,"[37.636226554, 127.02454178]"
서울 강북구,국제가스공업(주),서울 강북구 수유1동 48-23,02-988-5565,자동차충전,"[37.634360356, 127.021860827]"
서울 강서구,(주)삼표에너지 김포충전소,서울 강서구 오쇠동 150-5,02-2661-3111,용기+탱크+13kg용기,"[37.5380944907991, 126.798090686825]"
서울 강서구,강서가스충전소,서울 강서구 오곡동 593-2,02-682-9100,자동차충전,"[37.5549368206352, 126.768987283185]"
서울 강서구,대양가스충전소,서울 강서구 가양동 449-13,02-2668-5151,자동차충전,"[37.5584437800742, 126.860708617203]"
서울 강서구,오곡동충전소,서울 강서구 오곡동 699-14,02-684-9061,자동차충전,"[37.5558048611293, 126.768229926742]"
서울 강서구,공항로충전소,서울 강서구 등촌동 534-12,02-2653-7211,자동차충전,"[37.5535726198354, 126.858387511033]"
서울 강서구,대흥에너지산업(주),서울 강서구 화곡동 898-3,02-2602-2448,자동차충전,"[37.5301629369371, 126.847319107047]"
서울 강서구,한경에너지,서울 강서구 개화동 215-6,02-2064-0786,자동차충전,"[37.5875313553216, 126.799091590521]"
서울 강서구,활주로충전소,서울 강서구 외발산동 384-2,02-676-8289,자동차충전,"[37.542884007, 126.817080254]"
서울 강서구,복지개화충전소,서울 강서구 개화동 509-4,02-2661-5151,자동차충전,"[37.5752378697374, 126.801564748736]"
