업소명,coords,lats,longs
강남복지충전소,"[37.4763744810253, 127.105459882197]",[],[]
(주)진양가스,"[37.4904997775776, 127.035696328909]","[[37.49047807, 37.49042716, 37.49042208, 37.49041618, 37.49041956, 37.49037091, 37.49032922, 37.49032331, 37.49033008, 37.49028001, 37.49027214, 37.49027664, 37.49026483, 37.49026004, 37.49024823, 37.49024034, 37.49021249, 37.49020686, 37.49019391, 37.49018632, 37.49017366, 37.49011621, 37.4901221, 37.49013756, 37.49014601, 37.49015473, 37.49014234, 37.49015697, 37.49016091, 37.49017385, 37.49017188, 37.49021969, 37.4902318, 37.49024474, 37.49026501, 37.49037106, 37.49047807], [37.49034753, 37.49026133, 37.49032651, 37.49041271, 37.49038376, 37.49037199, 37.49036471, 37.49037648, 37.49034753], [37.49049485, 37.49039886, 37.49042364, 37.49044891, 37.49045651, 37.49051714, 37.49050895, 37.49051906, 37.49049485]]","[[127.03698805, 127.03682212, 127.03682283, 127.03679897, 127.03679633, 127.03663429, 127.03665212, 127.0366279, 127.03662473, 127.03645862, 127.03643158, 127.03642805, 127.03639307, 127.03639554, 127.03636532, 127.03637026, 127.03628632, 127.03628933, 127.03625204, 127.03625522, 127.03621881, 127.03624494, 127.03633417, 127.03638435, 127.03637941, 127.03641174, 127.03641739, 127.03647092, 127.03646951, 127.03651192, 127.03651316, 127.03666901, 127.03666265, 127.03670418, 127.03669448, 127.03704012, 127.03698805], [127.03581348, 127.03585508, 127.03606774, 127.03602613, 127.03593167, 127.03593736, 127.03591361, 127.03590793, 127.03581348], [127.03617146, 127.03621733, 127.03629902, 127.03628695, 127.03631199, 127.03628302, 127.03625607, 127.03625123, 127.03617146]]"
대치에너지주식회사,"[37.4993371909186, 127.078104086886]",[],[]
남서울가스(주),"[37.4977959496269, 127.075562803125]",[],[]
(주)수서에너지,"[37.4828535323026, 127.105060577053]",[],[]
암사충전소,"[37.5518398151733, 127.127773798209]","[[37.5512328, 37.55127497, 37.55103864, 37.55102081, 37.55104918, 37.55104129, 37.55099293, 37.5509833, 37.5512328], [37.55224779, 37.5524649, 37.55257896, 37.55266759, 37.55263711, 37.55265858, 37.55263548, 37.5526143, 37.55253015, 37.55261373, 37.55250818, 37.5524652, 37.55247196, 37.55242704, 37.5521981, 37.55224779], [37.55161968, 37.55183157, 37.55194542, 37.55203523, 37.55200791, 37.55202812, 37.55200727, 37.55198807, 37.55190249, 37.55198299, 37.55188104, 37.55183816, 37.55184572, 37.55179783, 37.5515706, 37.55161968], [37.55183104, 37.55173765, 37.55170606, 37.55180026, 37.55183104], [37.55172567, 37.55163911, 37.55160852, 37.55169731, 37.55172567], [37.55183668, 37.55180699, 37.55214247, 37.55217515, 37.55183668], [37.55163677, 37.55153996, 37.55150421, 37.55159616, 37.55161445, 37.55162121, 37.55163677], [37.55233012, 37.55231172, 37.55240259, 37.55242314, 37.55233012], [37.55228731, 37.55219359, 37.55216534, 37.55220125, 37.55219875, 37.55225656, 37.55228731], [37.55159062, 37.55146772, 37.55144215, 37.55141778, 37.55154068, 37.55154807, 37.55156797, 37.55159062], [37.55155307, 37.55158592, 37.55150596, 37.5514731, 37.55155307], [37.55177106, 37.55165323, 37.55163659, 37.55166005, 37.55165753, 37.5517269, 37.55172997, 37.55175301, 37.55177106], [37.55225185, 37.55215868, 37.55213187, 37.55222396, 37.55225185], [37.55254754, 37.55253925, 37.55245404, 37.55243089, 37.55252486, 37.55254754], [37.55203724, 37.55204131, 37.55207181, 37.55209327, 37.55200666, 37.55198178, 37.55203724], [37.55230876, 37.55222158, 37.55219961, 37.55228498, 37.55230876]]","[[127.12859109, 127.12841847, 127.12833635, 127.12841146, 127.12842701, 127.12846887, 127.12845193, 127.12849683, 127.12859109], [127.12707615, 127.12694354, 127.127209, 127.12714815, 127.12708348, 127.12705873, 127.12700686, 127.12701814, 127.12684667, 127.12646045, 127.12641376, 127.12657462, 127.12657859, 127.12679353, 127.12696098, 127.12707615], [127.12685723, 127.12671716, 127.12699381, 127.12692855, 127.12685687, 127.12684072, 127.12679135, 127.12680388, 127.12661893, 127.12623781, 127.12619338, 127.1263626, 127.12636567, 127.12658649, 127.12674115, 127.12685723], [127.12861531, 127.12857487, 127.12871729, 127.12875197, 127.12861531], [127.12857779, 127.12854788, 127.1286808, 127.12871354, 127.12857779], [127.12723536, 127.12736862, 127.12749401, 127.12735521, 127.12723536], [127.12854538, 127.12850391, 127.12864406, 127.12868146, 127.12860804, 127.12860918, 127.12854538], [127.12777499, 127.12787217, 127.12790401, 127.12781341, 127.12777499], [127.12732207, 127.12728848, 127.1274128, 127.12742567, 127.12743668, 127.1274574, 127.12732207], [127.12705639, 127.12701248, 127.12703037, 127.127138, 127.12718191, 127.12714929, 127.1271564, 127.12705639], [127.12736512, 127.12722428, 127.12719485, 127.12733568, 127.12736512], [127.12756402, 127.12752228, 127.12760028, 127.12760852, 127.12761957, 127.12764414, 127.1276323, 127.12764046, 127.12756402], [127.12748365, 127.12745252, 127.12757904, 127.12761088, 127.12748365], [127.12783563, 127.1278113, 127.12778234, 127.12789974, 127.12793188, 127.12783563], [127.12775872, 127.12774075, 127.12775165, 127.12765612, 127.12762485, 127.1277389, 127.12775872], [127.12774515, 127.12771017, 127.12781586, 127.12784565, 127.12774515]]"
복지상일충전소,"[37.5450321229421, 127.170025597418]",[],[]
(주)경기에너지,"[37.5365185282288, 127.129002234033]","[[37.53597066, 37.53595755, 37.53602781, 37.53604147, 37.53597066], [37.53615297, 37.53618326, 37.53608421, 37.53604941, 37.53615297], [37.5360305, 37.53602991, 37.53597271, 37.53597077, 37.53596005, 37.53595749, 37.53593361, 37.53593287, 37.53590121, 37.53590885, 37.5360305]]","[[127.12944038, 127.12957127, 127.12958146, 127.12945057, 127.12944038], [127.12891356, 127.12881337, 127.128765, 127.12886405, 127.12891356], [127.1300157, 127.1298056, 127.12979894, 127.12984091, 127.12984191, 127.12987121, 127.12987479, 127.12989708, 127.12991569, 127.13001538, 127.1300157]]"
복지둔촌충전소,"[37.5251370600419, 127.146533353423]",[],[]
(주)청학에너지,"[37.628043406, 127.04412554]","[[37.6274763, 37.62745657, 37.62742226, 37.62738909, 37.62762364, 37.62762867, 37.6278057, 37.62781387, 37.62764061, 37.62763146, 37.62750844, 37.62752368, 37.62756298, 37.62757729, 37.6274763], [37.62789273, 37.62783451, 37.62757922, 37.62747822, 37.62746964, 37.62762595, 37.62782068, 37.62792163, 37.62789273], [37.6272156, 37.627334, 37.62737591, 37.62739941, 37.62737868, 37.62751734, 37.62760458, 37.62759243, 37.62760126, 37.62755426, 37.62756444, 37.62754094, 37.62753184, 37.62744955, 37.62741854, 37.62737119, 37.62737966, 37.6273567, 37.62734679, 37.62729141, 37.62725491, 37.62726887, 37.6272156], [37.62781255, 37.62786865, 37.62783754, 37.62789041, 37.6278685, 37.62791577, 37.62802194, 37.62792191, 37.62796517, 37.62790899, 37.62781255]]","[[127.04325938, 127.0434673, 127.04346289, 127.04384701, 127.04388383, 127.04382656, 127.04384218, 127.04370704, 127.04368291, 127.04374878, 127.04373105, 127.0434748, 127.04347771, 127.0432716, 127.04325938], [127.04387208, 127.04391453, 127.04401667, 127.04400019, 127.04407755, 127.04410393, 127.04402667, 127.0439216, 127.04387208], [127.04492407, 127.04512885, 127.04509387, 127.04513059, 127.04515131, 127.04539064, 127.04531537, 127.04529371, 127.045285, 127.0452042, 127.04519548, 127.04516001, 127.04516646, 127.04502039, 127.04504496, 127.04496756, 127.04496099, 127.04491975, 127.0449262, 127.04482319, 127.0448525, 127.04487314, 127.04492407], [127.04311598, 127.04321378, 127.04323993, 127.04332935, 127.04334837, 127.04342826, 127.0433429, 127.04316158, 127.04312695, 127.04302904, 127.04311598]]"
