기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2021.04	서울시	3,159,075	12,421	2,944,563	202,091	2,717,185	4,454	2,589,024	123,707	104,101	3,688	85,183	15,230	328,589	3,911	266,514	58,164	9,200	368	3,842	4,990	455,622	4,534	451,088
2021.04	종로구	49,926	3,697	44,541	1,688	40,992	1,610	38,890	492	3,648	1,646	1,710	292	5,087	356	3,885	846	199	85	56	58	13,182	453	12,729
2021.04	중구	52,894	1,224	45,619	6,051	42,623	276	38,560	3,787	3,082	744	2,046	292	6,961	187	4,924	1,850	228	17	89	122	14,418	238	14,180
2021.04	용산구	79,447	335	77,028	2,084	70,397	132	69,369	896	2,248	56	2,130	62	6,674	138	5,453	1,083	128	9	76	43	16,752	194	16,558
2021.04	성동구	106,551	345	93,724	12,482	91,943	123	82,431	9,389	3,341	44	2,386	911	11,014	160	8,788	2,066	253	18	119	116	19,939	124	19,815
2021.04	광진구	98,594	297	92,849	5,448	83,031	84	79,690	3,257	3,046	42	2,605	399	12,224	164	10,500	1,560	293	7	54	232	18,684	186	18,498
2021.04	동대문구	98,224	299	92,930	4,995	82,169	103	79,496	2,570	3,374	52	3,153	169	12,467	134	10,176	2,157	214	10	105	99	24,137	183	23,954
2021.04	중랑구	114,271	250	104,568	9,453	94,482	77	88,582	5,823	4,292	33	3,700	559	15,018	125	12,147	2,746	479	15	139	325	24,948	119	24,829
2021.04	성북구	120,985	293	115,494	5,198	105,263	89	102,904	2,270	4,670	46	3,490	1,134	10,829	149	8,990	1,690	223	9	110	104	26,768	230	26,538
2021.04	강북구	75,600	317	71,036	4,247	63,089	104	60,823	2,162	3,473	63	2,687	723	8,850	137	7,454	1,259	188	13	72	103	22,302	59	22,243
2021.04	도봉구	95,573	263	88,001	7,309	81,207	82	76,427	4,698	3,414	49	2,881	484	10,673	121	8,581	1,971	279	11	112	156	15,007	148	14,859
2021.04	노원구	152,746	322	143,259	9,165	134,525	91	128,499	5,935	5,003	52	4,073	878	12,819	170	10,557	2,092	399	9	130	260	15,164	65	15,099
2021.04	은평구	131,942	298	124,620	7,024	114,306	98	110,096	4,112	4,651	46	3,808	797	12,657	140	10,595	1,922	328	14	121	193	21,384	127	21,257
2021.04	서대문구	89,532	456	83,274	5,802	78,063	203	74,556	3,304	3,001	107	2,461	433	8,162	136	6,167	1,859	306	10	90	206	15,160	153	15,007
2021.04	마포구	119,984	339	112,636	7,009	104,091	99	99,784	4,208	3,645	55	3,015	575	11,924	166	9,669	2,089	324	19	168	137	17,768	170	17,598
2021.04	양천구	151,504	315	142,584	8,605	131,478	115	126,772	4,591	4,628	57	3,793	778	14,785	135	11,829	2,821	613	8	190	415	16,124	155	15,969
2021.04	강서구	204,405	336	185,293	18,776	176,265	119	162,980	13,166	6,793	44	5,347	1,402	20,846	159	16,723	3,964	501	14	243	244	19,336	168	19,168
2021.04	구로구	144,711	298	132,105	12,308	121,522	96	112,584	8,842	5,566	62	4,881	623	17,178	130	14,392	2,656	445	10	248	187	15,821	205	15,616
2021.04	금천구	89,083	139	82,655	6,289	71,936	42	68,440	3,454	3,804	21	3,280	503	13,148	71	10,835	2,242	195	5	100	90	12,007	27	11,980
2021.04	영등포구	146,637	370	137,152	9,115	121,155	131	116,988	4,036	4,664	52	4,426	186	19,582	173	15,144	4,265	1,236	14	594	628	17,353	153	17,200
2021.04	동작구	105,872	322	102,756	2,794	94,114	108	92,795	1,211	2,932	53	2,740	139	8,464	146	7,130	1,188	362	15	91	256	15,355	188	15,167
2021.04	관악구	118,947	315	113,094	5,538	102,599	95	99,500	3,004	4,152	50	3,781	321	11,893	159	9,688	2,046	303	11	125	167	25,353	244	25,109
2021.04	서초구	178,271	514	167,156	10,601	157,262	207	152,262	4,793	4,457	123	3,564	770	16,163	172	11,111	4,880	389	12	219	158	12,572	298	12,274
2021.04	강남구	235,769	395	217,129	18,245	214,913	151	198,891	15,871	5,310	54	4,602	654	15,153	175	13,402	1,576	393	15	234	144	18,132	304	17,828
2021.04	송파구	245,411	389	231,943	13,079	207,654	126	201,180	6,348	6,445	94	4,827	1,524	30,764	156	25,715	4,893	548	13	221	314	20,559	199	20,360
2021.04	강동구	152,196	293	143,117	8,786	132,106	93	126,525	5,488	4,462	43	3,797	622	15,254	152	12,659	2,443	374	5	136	233	17,386	144	17,242
2021.04	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	11
